,url,title
0,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247532556&idx=2&sn=5440bf0acb72e28ab60c80cad89cefea&chksm=c2ea53c1f59ddad75d2677bea81b72a700ef9258b690940fffc4f002bfdbc082491d252e5cdc#rd,绿氢制绿氨获得巨大空间！工信部公告《合成氨行业规范条件》
1,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247532504&idx=1&sn=091453457c3160c3da0d3ee85350991d&chksm=c2ea6c15f59de503eee44a5abe9d7da6f201d9261ecc10c181f12655712cdc837095c3dbe193#rd,氢能应用空间再扩！生态环境部全面核查石化、钢铁等温室气体排放
2,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247532504&idx=2&sn=58a2e74b507a5189e921d88092837603&chksm=c2ea6c15f59de5037dd1063bbc21f9bd66727ffb80571d8510ca04ecc4f094bbec68594c4283#rd,推进海上风电制氢先导工程！上海将氢能列入新基建行动方案
3,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247532429&idx=1&sn=90ce1e78c389e51e0fd7230044277aa1&chksm=c2ea6c40f59de556dda8852093ee772515816eb23082c202cbccc42b03eb00aa75a63c7e17c5#rd,氢能入列！国家能源局发布可再生能源发展试点示范通知
4,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247532384&idx=1&sn=511eda06383ae17fd857cdd5d4bc09d7&chksm=c2ea6cadf59de5bbe9c2a3f1ce8a1efd7ad4de7554b8f4e12401f2bb102023a72a2d0ec05a67#rd,国务院：壮大风光氢储产业集群，推动乌兰察布至燕山石化输氢管道建设
5,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247532384&idx=2&sn=5d19b800772bb86bfae8f21ac61e4fe3&chksm=c2ea6cadf59de5bb9bd4d255def543c1a26b68464f09da8d93a847b87b1ae4aa1a9d4e34347f#rd,最高500万元！八师石河子市发布氢能补贴政策
6,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247532384&idx=3&sn=ec297c9d9b5ab716597b56e0cd97bc01&chksm=c2ea6cadf59de5bb22c2ba26caf70177c8c854ef68339b5b112515a39ee6c2f2de745f71fa21#rd,今年建成补200万！唐山发布加氢站建设补贴新政
7,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247532321&idx=1&sn=feefcdf6f7ab0085f86e69dfc2308d5d&chksm=c2ea6cecf59de5fae9e3f1c325ebe191b441fae3a7d6f7ddf91a6eaed2a905a14c462225b9f5#rd,最高5000万元！青岛氢能产业园奖补政策发布
8,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247532125&idx=1&sn=1ecfd1fda7240fa33e4e05a961088cb7&chksm=c2ea6d90f59de486f855bff392c6cf3ef58dc9913864bdb0ae664ccd31367dc59ecb38c86bcf#rd,14项氢能！44家企业参与起草！国家能源局发布2023年能源领域行业标准制定计划
9,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247532125&idx=2&sn=16c10e8b0c7fe3e107496c75939aca91&chksm=c2ea6d90f59de48618acfb24e2cf554522b2b7d3354b64c2c0fd6fc18336e4feebc0b14028ef#rd,放宽！浙江嘉兴拟修改氢能车补贴发放条件
10,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247531987&idx=2&sn=395016ca8b7fd5eb663855212f4a8615&chksm=c2ea6e1ef59de70883f73f6228b5559341b91da49fa4d078ab82d45791646777a71d2e3e9e34#rd,中国航空氢能要起势！工信部发布绿色航空制造业发展纲要
11,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247531930&idx=1&sn=300fef751d558c1c59f9a290a6be0837&chksm=c2ea6e57f59de741b7628be9d3590b67b6654085f25a5aeade1ec61ee891897364205ceb0b7f#rd,制氢规模已达4.6万吨/年！内蒙古鄂尔多斯提出创建氢能产业示范基地
12,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247531889&idx=2&sn=ce439a11a0cef95b0d3faaa28897ee97&chksm=c2ea6ebcf59de7aaebf419f2f45ca6827508d2ca7c3a9a195746385ee9a27d7dc1a0cac9733a#rd,非经营性加氢站不得对外提供经营服务！河北就加氢站管理办法征求意见
13,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247531816&idx=1&sn=a5b6caf6380ef1478dea7ebb15ca122f&chksm=c2ea6ee5f59de7f301f867fc2addd34b1a01d2d342a9a18aeee74b6f1d1bd1df41bad98e9f6f#rd,燃料电池船舶至少30辆！烟台出台氢能中长期发展规划
14,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247531738&idx=1&sn=1df24287a1b8de5b42255e7ca06bd264&chksm=c2ea6f17f59de601fd421072e590441774e8a044e9b12d91f12775450e9d5e53558d41b7596d#rd,35条！9月氢能政策汇总
15,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247531738&idx=2&sn=b278725f6f1af583a7859c9e87190406&chksm=c2ea6f17f59de6013bb45ba6a2923bf1cdca7671a50699dfe3d245767ac77931590cba454e0c#rd,绿氢补贴3000元/吨，共享氢储能项目最高补贴1000万元！新疆克拉玛依发布氢能补贴方案
16,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247531738&idx=3&sn=ae0a14e1defeb509c91ed2093f9ed17b&chksm=c2ea6f17f59de601fedbef80afa8feaf50a41b57b2d6f4a48bd7ee6fbf1559d5f8de9651a3b2#rd,公务船舶开展氢燃料电池应用示范！深圳碳达峰方案发布
17,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247531058&idx=1&sn=1f21530598fec5953b219de83d824831&chksm=c2ea69fff59de0e901baefd3cb1d45b2f39f0b01259046b992d2eb85ce1a42015d82692d4c3e#rd,最高2000万元！海南支持氢燃料电池/甲醇汽车试点示范
18,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247531058&idx=2&sn=afa5e5e928da0a7f15654d8beb041087&chksm=c2ea69fff59de0e940d3be19ca992ea2d04a7807d79bc281768aa8cbc28184f906fe55ec6bc2#rd,打造大湾区氢能产业高地！佛山碳达峰方案发布
19,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247530997&idx=2&sn=751737158c19aab10dd4570517d3da0f&chksm=c2ea6a38f59de32e052b786413915557c95771c42265e4a0ae4e6db0eb9c50a8b52c3294f768#rd,山东济南青岛淄博三地打造氢能装备制造产业基地
20,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247530857&idx=1&sn=90058f961d1633075ecf1954f241d51b&chksm=c2ea6aa4f59de3b27ea4d71e04069cfca2d3e61e655945f22a77e8fd715e6f0cf9d8bfeae74e#rd,创新最高奖3000万！沈阳大东区发布氢能奖补措施征求意见稿
21,http://mp.weixin.qq.com/s?__biz=Mzk0MDAwMDkzMA==&mid=2247530669&idx=1&sn=a66653a7fdfe3956d9a5dc9778406fd4&chksm=c2ea6b60f59de27670144cbc84745a892bbc02334146a2877092e01ee4cd083eb26229daa60a#rd,不得限制或排斥首台（套）重大技术装备制造企业参与投标！工信部等发文定规则
